Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Tłusta,Niedoskonałości,Widoczne naczynka,0,36,OnlyBio Kombucha Puszysta pianka do mycia twarzy,The Ordinary - Amino Acids + B5 - Serum Nawilżające z Aminokwasami i Witaminą B5,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Hydraliane,Sudocrem,APIS Maska Ściągająco-Wygładzająca z Białą Glinką i Cynkiem,Brak 
Normalna,Rozszerzone pory,Przebarwienia,0,16,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Uriage Roseliane SPF30 krem do cery naczynkowej,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Przebarwienia,Podrażnienie,0,28,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,SunewMed+ Vitamin C,Uriage Roseliane SPF30 krem do cery naczynkowej,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Nadprodukcja sebum,Przebarwienia,1,18,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Yope Moon SPA krem do twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Tłusta,Nadprodukcja sebum,Podrażnienie,0,18,BIELENDA CBD Cannabidiol,Sunewmed Essence+ Aktywator Pod Krem I Oczy,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Widoczne naczynka,Brak,0,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Holika Holika Aloe Waterproof Sun Gel SPF50+ żel przeciwsłoneczny,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Niedoskonałości,Szara cera,0,23,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Q+A - Peptide - Facial Serum - Nawilżająco-Regenerujące Serum do Twarzy z Peptydami,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Pasta Cynkowa,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Rozszerzone pory,Przebarwienia,1,33,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Naklejki na krostki z Selfie Project,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Sucha,Widoczne naczynka,Niedoskonałości,0,22,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Yves Rocher Riche Créme intensywny krem ??regenerujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Normalna,Przebarwienia,Podrażnienie,0,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Przebarwienia,Podrażnienie,0,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maska Glinkowa Ziaja,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Niedoskonałości,Brak,1,18,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,CeraVe Nawilżający Krem do Twarzy,Acnederm,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Podrażnienie,Brak,0,19,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Sucha,Przebarwienia,Brak,0,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający krem do twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maska Glinkowa Ziaja,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Widoczne naczynka,Podrażnienie,1,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,MIYA Serum z witaminą C na przebarwienia,SunewMed+ Vitamin C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Podrażnienie,Zaskórniki ,1,26,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Faceboom Korygująco-rozjaśniające Serum Do Twarzy,Tołpa authentic krem nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Naklejki na krostki z Selfie Project,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Niedoskonałości,Rozszerzone pory,1,18,CeraVe Wygładzający Żel do Mycia,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Pharmaceris T Sebo-Almond Peel krem z 10% kwasem migdałowym,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Normalna,Niedoskonałości,Podrażnienie,1,24,Żel Tołpa Dermo Face Physio,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Sudocrem,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Przebarwienia,Podrażnienie,0,17,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,La Roche-Posay Anthelios XL SPF50+,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Nadprodukcja sebum,Rozszerzone pory,1,29,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,Caudalie Vinosource-Hydra krem intensywnie nawilżający,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Szara cera,Brak,0,21,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Suche skórki,Nadprodukcja sebum,0,20,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,Revox Just Niacinamide 10%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Dermedic Melumin,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Niedoskonałości,Przebarwienia,0,25,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Przebarwienia,Podrażnienie,1,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Dermedic Melumin,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Widoczne naczynka,Podrażnienie,0,21,FLUFF Superfood nawilżająca emulsja do mycia twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Szara cera,Podrażnienie,0,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Tłusta,Niedoskonałości,Przebarwienia,1,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Rozszerzone pory,Podrażnienie,1,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Niedoskonałości,Podrażnienie,0,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Rozszerzone pory,Podrażnienie,0,24,BIELENDA CBD Cannabidiol,Nacomi Next Lvl Serum z Witaminą C 15%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Sensifine AR,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maska Glinkowa Ziaja,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Niedoskonałości,Brak,0,22,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Floslek SUN CARE Krem-żel anti-spot SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,HELLO BODY Coco Dream Regenerujące serum,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak
Mieszana,Podrażnienie,Brak,1,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Revox Just Niacinamide 10%,Tołpa - Authentic - Krem Matowa Skóra,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
Mieszana,Niedoskonałości,Suche skórki,0,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Nadprodukcja sebum,Suche skórki,0,17,FaceBoom Oczyszczająca pianka do mycia twarzy,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Niedoskonałości,Szara cera,1,20,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Tołpa - Pre Age - Matujące Serum Normalizujące - 20ml,Sensibio AR Bioderma,Uriage Roseliane SPF30 krem do cery naczynkowej,HELLO BODY Coco Dream Regenerujące serum,SVR Sensifine AR,Olejek z drzewa herbacianego The Body Shop,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Nadprodukcja sebum,Suche skórki,0,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Brak
Normalna,Niedoskonałości,Brak,1,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Sunewmed Essence+ Aktywator Pod Krem I Oczy,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,The Ordinary Hyaluronic Acid 2% + B5,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Tłusta,Widoczne naczynka,Podrażnienie,1,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Tłusta,Podrażnienie,Brak,0,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Niedoskonałości,Podrażnienie,0,18,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi - Delicate Care - Kojący Krem Matujący,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Niedoskonałości,Podrażnienie,1,34,Bielenda Fresh Juice Nawilżający micelarny żel do mycia twarzy z bioaktywną wodą cytrusową,Nacomi Next Lvl ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maska Glinkowa Ziaja,Brak 
Mieszana,Widoczne naczynka,Brak,1,19,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Tołpa Authentic Nawilżona Skóra,Maść z witaminą A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Miya myBEUTYpeeling Peeling Enzymatyczny
